clusters	colors
TRINITY_DN3190_c0_g1_i1	1	#00FF66
TRINITY_DN8535_c0_g1_i5	2	#FF004D
TRINITY_DN247_c0_g1_i4	2	#FF004D
TRINITY_DN28064_c2_g1_i1	2	#FF004D
TRINITY_DN230014_c0_g1_i2	2	#FF004D
TRINITY_DN5097_c2_g1_i4	1	#00FF66
TRINITY_DN5510_c0_g2_i3	1	#00FF66
TRINITY_DN71883_c0_g1_i1	2	#FF004D
TRINITY_DN5107_c0_g1_i10	1	#00FF66
TRINITY_DN239852_c0_g1_i1	2	#FF004D
TRINITY_DN18599_c0_g1_i5	1	#00FF66
TRINITY_DN294403_c0_g1_i1	2	#FF004D
TRINITY_DN53887_c0_g1_i1	2	#FF004D
TRINITY_DN6271_c0_g1_i7	1	#00FF66
TRINITY_DN210730_c0_g1_i1	2	#FF004D
TRINITY_DN818_c0_g1_i6	2	#FF004D
TRINITY_DN161529_c0_g1_i1	2	#FF004D
TRINITY_DN5460_c4_g3_i2	2	#FF004D
TRINITY_DN295646_c0_g1_i1	2	#FF004D
TRINITY_DN39_c0_g1_i41	2	#FF004D
TRINITY_DN39_c0_g1_i73	2	#FF004D
TRINITY_DN43878_c0_g1_i1	2	#FF004D
TRINITY_DN4757_c0_g1_i2	2	#FF004D
TRINITY_DN14867_c0_g1_i4	1	#00FF66
TRINITY_DN104329_c0_g1_i4	1	#00FF66
TRINITY_DN4321_c0_g1_i5	2	#FF004D
TRINITY_DN247866_c0_g2_i1	2	#FF004D
TRINITY_DN103288_c0_g1_i12	1	#00FF66
TRINITY_DN310_c0_g1_i7	2	#FF004D
TRINITY_DN5688_c0_g1_i3	2	#FF004D
TRINITY_DN97530_c0_g1_i1	2	#FF004D
TRINITY_DN13495_c0_g1_i1	2	#FF004D
TRINITY_DN2076_c0_g2_i1	1	#00FF66
TRINITY_DN2176_c0_g2_i14	1	#00FF66
TRINITY_DN4740_c0_g1_i3	2	#FF004D
TRINITY_DN114064_c0_g1_i1	2	#FF004D
TRINITY_DN28264_c0_g2_i1	2	#FF004D
