T23_rep1	S_BV22_17_11	S_BV22_17_12	S_BV22_17_13	S_BV22_17_14	S_BV22_17_15	S_BV22_17_16	S_BV22_17_17	S_BV22_17_18	S_BV22_17_19	S_BV22_17_20
TRINITY_DN3190_c0_g1_i1	-0.96667526	1.154340141	0.16425561	1.385235702	1.280644675	0.848900169	-0.96667526	-0.96667526	-0.96667526	-0.96667526
TRINITY_DN8535_c0_g1_i5	1.48897947	-1.023753093	-1.023753093	-1.023753093	-1.023753093	-1.023753093	0.843352636	0.570317664	1.264605469	0.951510228
TRINITY_DN247_c0_g1_i4	-1.666045864	-1.666045864	-1.666045864	-1.666045864	-1.666045864	-1.666045864	3.229596061	1.884362329	2.877635603	2.004681191
TRINITY_DN28064_c2_g1_i1	1.380742624	-1.661551502	-1.661551502	-1.661551502	-1.661551502	-1.661551502	1.973738552	1.145184989	2.582117579	1.225973768
TRINITY_DN230014_c0_g1_i2	2.806475018	-2.083728448	-2.083728448	-2.083728448	-2.083728448	-2.083728448	1.115551273	2.629087406	1.484303656	2.383224889
TRINITY_DN5097_c2_g1_i4	-0.583880616	0.469925828	1.009234081	0.564077266	0.463657773	0.412508131	-0.583880616	-0.583880616	-0.583880616	-0.583880616
TRINITY_DN5510_c0_g2_i3	-0.92154297	1.842081062	0.404994378	0.894851939	0.347490176	1.118297294	-0.92154297	-0.92154297	-0.92154297	-0.92154297
TRINITY_DN71883_c0_g1_i1	0.59273311	-0.917216037	-0.870375782	-0.917216037	-0.917216037	-0.917216037	1.725947493	0.615848885	0.790308754	0.814401686
TRINITY_DN5107_c0_g1_i10	-0.388074023	-0.104744855	0.222626039	0.590853753	0.175572246	1.056062933	-0.388074023	-0.388074023	-0.388074023	-0.388074023
TRINITY_DN239852_c0_g1_i1	1.005165556	-0.724713456	-0.724713456	-0.724713456	-0.724713456	-0.724713456	0.784222206	-0.318721096	1.526551173	0.626349443
TRINITY_DN18599_c0_g1_i5	-1.421570367	1.29520109	0.277092633	2.722720783	2.227930132	0.584907197	-1.421570367	-1.421570367	-1.421570367	-1.421570367
TRINITY_DN294403_c0_g1_i1	1.327266067	-0.910297651	-0.910297651	-0.910297651	-0.910297651	-0.910297651	1.951856144	0.586420337	0.861587927	-0.175642218
TRINITY_DN53887_c0_g1_i1	1.742749753	-0.93261456	-0.93261456	-0.93261456	-0.93261456	-0.93261456	1.291116885	0.384110462	1.317740712	-0.072645012
TRINITY_DN6271_c0_g1_i7	-0.666596932	0.266220171	-0.098078334	0.846893814	1.218586934	1.099362074	-0.666596932	-0.666596932	-0.666596932	-0.666596932
TRINITY_DN210730_c0_g1_i1	1.102995732	-0.736963855	-0.736963855	-0.736963855	-0.736963855	-0.736963855	1.21462394	0.200380537	1.516420381	-0.349601314
