T23_rep1	T23_rep2	T23_rep3	T23_rep4	T23_rep5	T20_rep1	T20_rep2	T20_rep3	T20_rep4	T20_rep5
T23_rep1	1	0.732414794709177	0.67929754993642	0.632293298562586	0.591939395308258	-0.834741573886742	-0.837320260062086	-0.858095052023665	-0.854532305136588	-0.85446217269926
T23_rep2	0.732414794709177	1	0.550512127042681	0.826503901661599	0.685495156375146	-0.865612927101894	-0.873639780759946	-0.88354598940266	-0.883494545212613	-0.879263840815344
T23_rep3	0.67929754993642	0.550512127042681	1	0.403595263608308	0.509502517146862	-0.725467164093069	-0.72230053848173	-0.749041232049986	-0.746323188782416	-0.74156358204126
T23_rep4	0.632293298562586	0.826503901661599	0.403595263608308	1	0.526455164473367	-0.773765773287994	-0.783857449195451	-0.787514724489404	-0.788405133377549	-0.784886160082332
T23_rep5	0.591939395308258	0.685495156375146	0.509502517146862	0.526455164473367	1	-0.759839495122053	-0.75492087038477	-0.787798422710655	-0.783474615278795	-0.776996055042898
T20_rep1	-0.834741573886742	-0.865612927101894	-0.725467164093069	-0.773765773287994	-0.759839495122053	1	0.888569399777976	0.906639602069739	0.905757038615799	0.904706827251574
T20_rep2	-0.837320260062086	-0.873639780759946	-0.72230053848173	-0.783857449195451	-0.75492087038477	0.888569399777976	1	0.906660588854765	0.897303673368585	0.944031916141222
T20_rep3	-0.858095052023665	-0.88354598940266	-0.749041232049986	-0.787514724489404	-0.787798422710655	0.906639602069739	0.906660588854765	1	0.978469549784872	0.92812130171697
T20_rep4	-0.854532305136588	-0.883494545212613	-0.746323188782416	-0.788405133377549	-0.783474615278795	0.905757038615799	0.897303673368585	0.978469549784872	1	0.926541439383312
T20_rep5	-0.85446217269926	-0.879263840815344	-0.74156358204126	-0.784886160082332	-0.776996055042898	0.904706827251574	0.944031916141222	0.92812130171697	0.926541439383312	1
