		S_BV22_17_11	S_BV22_17_12	S_BV22_17_13	S_BV22_17_14	S_BV22_17_15	S_BV22_17_16	S_BV22_17_17	S_BV22_17_18	S_BV22_17_19	S_BV22_17_20
TRINITY_DN3190_c0_g1_i1		3.35	1.19	4.105	3.748	2.52	0	0	0	0	0
TRINITY_DN8535_c0_g1_i5		0	0	0	0	0	2.648	2.019	3.885	2.932	4.707
TRINITY_DN247_c0_g1_i4		0	0	0	0	0	28.767	10.716	22.323	11.735	0
TRINITY_DN28064_c2_g1_i1		0	0	0	0	0	11.426	5.997	17.944	6.4	7.238
TRINITY_DN230014_c0_g1_i2		0	0	0	0	0	8.185	25.224	10.86	21.115	28.655
TRINITY_DN5097_c2_g1_i4		1.076	2.017	1.216	1.067	0.995	0	0	0	0	0
TRINITY_DN5510_c0_g2_i3		5.791	1.508	2.522	1.41	3.112	0	0	0	0	0
TRINITY_DN71883_c0_g1_i1		0	0.033	0	0	0	5.247	1.894	2.266	2.321	1.848
TRINITY_DN5107_c0_g1_i10		0.217	0.527	0.971	0.478	1.721	0	0	0	0	0
TRINITY_DN239852_c0_g1_i1		0	0	0	0	0	1.846	0.325	3.761	1.551	2.317
TRINITY_DN18599_c0_g1_i5		5.574	2.246	16.683	11.549	3.018	0	0	0	0	0
TRINITY_DN294403_c0_g1_i1		0	0	0	0	0	6.271	1.822	2.415	0.664	3.716
TRINITY_DN53887_c0_g1_i1		0	0	0	0	0	3.671	1.491	3.758	0.815	5.388
TRINITY_DN6271_c0_g1_i7		0.909	0.483	1.855	2.694	2.401	0	0	0	0	0
TRINITY_DN210730_c0_g1_i1		0	0	0	0	0	2.868	0.915	3.768	0.308	2.58
TRINITY_DN818_c0_g1_i6		0	0	0	0	0	0.793	2.316	1.532	5.551	3.533
TRINITY_DN161529_c0_g1_i1		0	0	0	0.024	0	1.53	2.934	0.997	7.786	0.274
TRINITY_DN5460_c4_g3_i2		0	0	0	0	0	8.683	9.061	0.903	3.367	9.66
TRINITY_DN295646_c0_g1_i1		0	0	0	0	0	10.043	20.572	4.145	18.387	10.293
TRINITY_DN39_c0_g1_i41		0	0	0	0	0	3.491	3.021	1.859	1.063	2.505
TRINITY_DN39_c0_g1_i73		0	0	0	0	0	1.431	1.881	3.335	2.402	4.651
TRINITY_DN43878_c0_g1_i1		0	0	0	0	0	2.387	2.856	4.118	1.621	2.432
TRINITY_DN4757_c0_g1_i2		0	0	0	0	0	3.059	11.308	5.687	4.747	8.371
TRINITY_DN14867_c0_g1_i4		0.141	1.18	1.751	2.48	1.796	0	0	0	0	0
TRINITY_DN104329_c0_g1_i4		5.385	1.548	1.595	3.08	1.674	0	0	0.053	0	0
TRINITY_DN4321_c0_g1_i5		0	0	0	0	0	2.03	2.335	5.179	0	5.334
TRINITY_DN247866_c0_g2_i1		0	0.04	0.1	0	0	7.359	3.043	10.534	2.162	5.991
TRINITY_DN103288_c0_g1_i12		1.053	1.182	1.112	0.674	2.11	0	0	0	0	0
TRINITY_DN310_c0_g1_i7		0	0	0	0	0	1.056	2.42	3.052	3.246	7.09
TRINITY_DN5688_c0_g1_i3		0	0	0	0	0	16.386	5.372	0	17.357	9.647
TRINITY_DN97530_c0_g1_i1		0	0	0	0	0	7.343	3.201	6.07	2.667	3.683
TRINITY_DN13495_c0_g1_i1		0	0	0	0	0	4.643	0.8	3.309	0.503	5.21
TRINITY_DN2076_c0_g2_i1		0.319	0.455	1.571	0.74	0.356	0	0	0	0	0
TRINITY_DN2176_c0_g2_i14		2.312	4.535	3.814	2.688	2.837	0	0	0	0	0
TRINITY_DN4740_c0_g1_i3		0	0	0	0	0	4.769	5.989	1.652	9.717	6.718
TRINITY_DN114064_c0_g1_i1		0	0	0	0	0	16.861	7.129	30.114	15.851	10.756
TRINITY_DN28264_c0_g2_i1		0	0	0	0.083	0	9.275	2.438	5.669	1.251	5.315
