T23_rep1	T23_rep2	T23_rep3	T23_rep4	T23_rep5	T20_rep1	T20_rep2	T20_rep3	T20_rep4	T20_rep5
T23_rep1	1	0.835612247724364	0.848413444969336	0.848539851219242	0.80481128704544	0.830872535211925	0.847135980952859	0.808165115073715	0.87439052963298	0.830158394121046
T23_rep2	0.835612247724364	1	0.841060290100904	0.859535434450182	0.806320055426934	0.810218461855855	0.798973050090423	0.743938227074444	0.850043966941474	0.84239334280974
T23_rep3	0.848413444969336	0.841060290100904	1	0.838048893684081	0.801316591039362	0.835042534807724	0.835423266897653	0.818165968450986	0.873697507833097	0.837398799664018
T23_rep4	0.848539851219242	0.859535434450182	0.838048893684081	1	0.796694439140314	0.836020105494838	0.838625113826156	0.76591579375182	0.861909429767735	0.851261497082016
T23_rep5	0.80481128704544	0.806320055426934	0.801316591039362	0.796694439140314	1	0.794355150973469	0.804365136052004	0.751874334350416	0.808953544429509	0.842074943516772
T20_rep1	0.830872535211925	0.810218461855855	0.835042534807724	0.836020105494838	0.794355150973469	1	0.89748042928798	0.823767582114468	0.866051121126242	0.856733430871262
T20_rep2	0.847135980952859	0.798973050090423	0.835423266897653	0.838625113826156	0.804365136052004	0.89748042928798	1	0.842414369573021	0.86831766196216	0.848015665063542
T20_rep3	0.808165115073715	0.743938227074444	0.818165968450986	0.76591579375182	0.751874334350416	0.823767582114468	0.842414369573021	1	0.817901056895655	0.773858694828628
T20_rep4	0.87439052963298	0.850043966941474	0.873697507833097	0.861909429767735	0.808953544429509	0.866051121126242	0.86831766196216	0.817901056895655	1	0.872712600719358
T20_rep5	0.830158394121046	0.84239334280974	0.837398799664018	0.851261497082016	0.842074943516772	0.856733430871262	0.848015665063542	0.773858694828628	0.872712600719358	1
