# BUSCO version is: 5.4.4 
# The lineage dataset is: arthropoda_odb10 (Creation date: 2020-09-10, number of genomes: 90, number of BUSCOs: 1013)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
774at6656	Duplicated	TRINITY_DN1217_c0_g1_i18:2-4060	1151.9	923	https://www.orthodb.org/v10?query=774at6656	WD40-repeat-containing domain
774at6656	Duplicated	TRINITY_DN1217_c0_g1_i19:47-3731	1079.2	855	https://www.orthodb.org/v10?query=774at6656	WD40-repeat-containing domain
774at6656	Duplicated	TRINITY_DN1217_c0_g1_i2:47-3773	1060.3	854	https://www.orthodb.org/v10?query=774at6656	WD40-repeat-containing domain
774at6656	Duplicated	TRINITY_DN1217_c0_g1_i4:2-4102	1132.9	922	https://www.orthodb.org/v10?query=774at6656	WD40-repeat-containing domain
774at6656	Duplicated	TRINITY_DN37781_c0_g1_i2:5-3085	1085.1	805	https://www.orthodb.org/v10?query=774at6656	WD40-repeat-containing domain
774at6656	Duplicated	TRINITY_DN37781_c0_g1_i5:5-3079	1096.6	807	https://www.orthodb.org/v10?query=774at6656	WD40-repeat-containing domain
774at6656	Duplicated	TRINITY_DN37781_c0_g1_i7:5-3058	1096.2	806	https://www.orthodb.org/v10?query=774at6656	WD40-repeat-containing domain
980at6656	Duplicated	TRINITY_DN43723_c0_g1_i3:152-7756	2185.2	1649	https://www.orthodb.org/v10?query=980at6656	leucine-rich repeat serine/threonine-protein kinase 1
980at6656	Duplicated	TRINITY_DN43723_c0_g1_i4:152-7756	2185.2	1649	https://www.orthodb.org/v10?query=980at6656	leucine-rich repeat serine/threonine-protein kinase 1
997at6656	Complete	TRINITY_DN2820_c0_g2_i1:1-3216	1806.4	860	https://www.orthodb.org/v10?query=997at6656	pre-mRNA-processing-splicing factor 8
1166at6656	Duplicated	TRINITY_DN125579_c0_g1_i1:111-3986	1113.8	856	https://www.orthodb.org/v10?query=1166at6656	E3 ubiquitin-protein ligase UBR5 isoform X1
1166at6656	Duplicated	TRINITY_DN706_c0_g1_i1:1-5034	1160.3	951	https://www.orthodb.org/v10?query=1166at6656	E3 ubiquitin-protein ligase UBR5 isoform X1
1166at6656	Duplicated	TRINITY_DN706_c0_g1_i4:1-4530	1169.2	977	https://www.orthodb.org/v10?query=1166at6656	E3 ubiquitin-protein ligase UBR5 isoform X1
1166at6656	Duplicated	TRINITY_DN706_c0_g1_i7:1-4506	1172.6	969	https://www.orthodb.org/v10?query=1166at6656	E3 ubiquitin-protein ligase UBR5 isoform X1
1885at6656	Complete	TRINITY_DN3950_c0_g1_i1:2-4613	939.0	876	https://www.orthodb.org/v10?query=1885at6656	SRCR-like domain
1990at6656	Complete	TRINITY_DN6614_c0_g1_i1:0-3194	1088.6	842	https://www.orthodb.org/v10?query=1990at6656	dnaJ homolog subfamily C member 13
2148at6656	Duplicated	TRINITY_DN19858_c0_g1_i3:1-3642	1394.1	854	https://www.orthodb.org/v10?query=2148at6656	Pecanex-like protein 1
2148at6656	Duplicated	TRINITY_DN19858_c0_g1_i4:1-3210	1393.6	854	https://www.orthodb.org/v10?query=2148at6656	Pecanex-like protein 1
2456at6656	Duplicated	TRINITY_DN4187_c0_g1_i10:9-4034	2208.6	1206	https://www.orthodb.org/v10?query=2456at6656	Translational activator GCN1
2456at6656	Duplicated	TRINITY_DN4187_c0_g1_i5:9-5090	2562.4	1501	https://www.orthodb.org/v10?query=2456at6656	Translational activator GCN1
2456at6656	Duplicated	TRINITY_DN4187_c0_g1_i6:9-4034	2208.6	1206	https://www.orthodb.org/v10?query=2456at6656	Translational activator GCN1
2456at6656	Duplicated	TRINITY_DN4187_c0_g1_i9:9-5090	2562.4	1501	https://www.orthodb.org/v10?query=2456at6656	Translational activator GCN1
2473at6656	Duplicated	TRINITY_DN4682_c0_g1_i2:208-2595	1036.4	614	https://www.orthodb.org/v10?query=2473at6656	TATA-binding protein-associated factor 172
2473at6656	Duplicated	TRINITY_DN4682_c0_g1_i3:208-2595	1036.4	614	https://www.orthodb.org/v10?query=2473at6656	TATA-binding protein-associated factor 172
3310at6656	Complete	TRINITY_DN26871_c0_g1_i1:191-5212	2693.4	1438	https://www.orthodb.org/v10?query=3310at6656	Clathrin heavy chain
3585at6656	Duplicated	TRINITY_DN2101_c0_g2_i2:0-6332	1210.4	959	https://www.orthodb.org/v10?query=3585at6656	Dbl homology (DH) domain
3585at6656	Duplicated	TRINITY_DN2101_c0_g2_i5:0-4037	1206.5	958	https://www.orthodb.org/v10?query=3585at6656	Dbl homology (DH) domain
3585at6656	Duplicated	TRINITY_DN2101_c0_g2_i6:0-6326	1210.4	959	https://www.orthodb.org/v10?query=3585at6656	Dbl homology (DH) domain
3644at6656	Missing
4136at6656	Duplicated	TRINITY_DN5584_c0_g1_i1:484-3878	1016.8	939	https://www.orthodb.org/v10?query=4136at6656	EGF-like, conserved site
4136at6656	Duplicated	TRINITY_DN5584_c0_g1_i2:484-3879	1020.6	908	https://www.orthodb.org/v10?query=4136at6656	EGF-like, conserved site
4227at6656	Missing
4864at6656	Duplicated	TRINITY_DN109702_c0_g1_i1:1097-4987	1462.9	1043	https://www.orthodb.org/v10?query=4864at6656	protein sidekick isoform X1
4864at6656	Duplicated	TRINITY_DN109702_c0_g1_i4:1131-5021	1462.9	1043	https://www.orthodb.org/v10?query=4864at6656	protein sidekick isoform X1
4864at6656	Duplicated	TRINITY_DN109702_c0_g1_i5:1131-5021	1462.9	1043	https://www.orthodb.org/v10?query=4864at6656	protein sidekick isoform X1
5277at6656	Complete	TRINITY_DN214673_c0_g1_i1:90-3695	495.3	477	https://www.orthodb.org/v10?query=5277at6656	trafficking protein particle complex subunit 8
5616at6656	Complete	TRINITY_DN117729_c0_g1_i1:125-4123	2039.4	1040	https://www.orthodb.org/v10?query=5616at6656	splicing factor 3B subunit 1
6453at6656	Complete	TRINITY_DN4019_c0_g1_i2:17-2959	1141.8	851	https://www.orthodb.org/v10?query=6453at6656	Sec7, C-terminal
6563at6656	Duplicated	TRINITY_DN405_c0_g1_i1:1-2656	1366.4	794	https://www.orthodb.org/v10?query=6563at6656	transcription initiation factor TFIID subunit 2
6563at6656	Duplicated	TRINITY_DN405_c0_g1_i3:1-2655	1360.7	794	https://www.orthodb.org/v10?query=6563at6656	transcription initiation factor TFIID subunit 2
6563at6656	Duplicated	TRINITY_DN405_c0_g1_i4:1-2655	1360.7	794	https://www.orthodb.org/v10?query=6563at6656	transcription initiation factor TFIID subunit 2
6563at6656	Duplicated	TRINITY_DN405_c0_g1_i5:1-2655	1360.7	794	https://www.orthodb.org/v10?query=6563at6656	transcription initiation factor TFIID subunit 2
